"Day ","Items ","Note ","Amount "
"90","Sales E Commerce","Revenue - ECM SO ID: 13809","6053"
"90","Sales E Commerce","Revenue - ECM SO ID: 13815","14484"
"90","Wholesales (B2B)","Revenue - B2B SO ID: 12911","336000"
"90","Penalty Expense","Cash Payment - Late penalty - B2B SO ID: 12911","-12000"
"90","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"90","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"90","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"90","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"90","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"90","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"90","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"90","Salary Expense","Cash Payment - Salary Expense","-40314"
"90","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14320","-55"
"90","Maintenance Expense","Cash Payment - Maintenance periodic Machine ID: 286","-15000"
"90","Retail","Revenue - Retail Sales New York - Mouthwash","18598"
"90","Retail","Revenue - Retail Sales New York - Body Wash  ","21830"
"90","Retail","Revenue - Retail Sales New York - Shampoo","19110"
"90","Retail","Revenue - Retail Sales Detroit - Mouthwash","14760"
"90","Retail","Revenue - Retail Sales Detroit - Body Wash  ","10800"
"90","Retail","Revenue - Retail Sales Detroit - Shampoo","9999"
"90","Retail","Revenue - Retail Sales Chicago - Mouthwash","8715"
"90","Retail","Revenue - Retail Sales Chicago - Body Wash  ","6965"
"90","Retail","Revenue - Retail Sales Chicago - Shampoo","6623"
"90","Rental Expense","Cash Payment - Rental - New York","-8040"
"90","Rental Expense","Cash Payment - Rental - Detroit","-3000"
"90","Rental Expense","Cash Payment - Rental - Miami","-3600"
"90","Rental Expense","Cash Payment - Rental - Chicago","-4440"
"89","Sales E Commerce","Revenue - ECM SO ID: 13649","17275"
"89","Sales E Commerce","Revenue - ECM SO ID: 13654","13642"
"89","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 14170 ","-72480"
"89","Human Resource Expense","Counselled","-2000"
"89","Human Resource Expense","Counselled","-2000"
"89","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"89","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"89","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"89","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"89","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"89","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"89","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"89","Salary Expense","Cash Payment - Salary Expense","-40314"
"89","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14160","-19"
"89","Shipping Expense","Cash Payment - Shipping Expense - WEB SO : 14165","-84"
"89","Retail","Revenue - Retail Sales New York - Mouthwash","17068"
"89","Retail","Revenue - Retail Sales New York - Body Wash  ","21571"
"89","Retail","Revenue - Retail Sales New York - Shampoo","19488"
"89","Retail","Revenue - Retail Sales Detroit - Mouthwash","16170"
"89","Retail","Revenue - Retail Sales Detroit - Body Wash  ","9270"
"89","Retail","Revenue - Retail Sales Detroit - Shampoo","12045"
"89","Retail","Revenue - Retail Sales Chicago - Mouthwash","8785"
"89","Retail","Revenue - Retail Sales Chicago - Body Wash  ","6720"
"89","Retail","Revenue - Retail Sales Chicago - Shampoo","7733"
"89","Services","Revenue - Service Sales Order ID: 13093","63700"
"89","Rental Expense","Cash Payment - Rental - New York","-8040"
"89","Rental Expense","Cash Payment - Rental - Detroit","-3000"
"89","Rental Expense","Cash Payment - Rental - Miami","-3600"
"89","Rental Expense","Cash Payment - Rental - Chicago","-4440"
"88","Procurement Raw Material","Cash Payment - Procurement Raw Material - PO ID: 13998 ","-89600"
"88","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","-100"
"88","Marketing Expense","Cash Payment - Marketing - New York - Body Wash  ","-100"
"88","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","-100"
"88","Marketing Expense","Cash Payment - Marketing - Detroit - Mouthwash","-100"
"88","Marketing Expense","Cash Payment - Marketing - Detroit - Body Wash  ","-100"
"88","Marketing Expense","Cash Payment - Marketing - Detroit - Shampoo","-100"
"88","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","-100"
"88","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash  ","-100"
"88","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","-100"
"88","Salary Expense","Cash Payment - Salary Expense","-40232"
